GEO_ID,NAME,S1702_C01_001E
48001,"Anderson County, Texas",11602
48003,"Andrews County, Texas",4273
48005,"Angelina County, Texas",22700
48007,"Aransas County, Texas",6132
48009,"Archer County, Texas",2402
48011,"Armstrong County, Texas",555
48013,"Atascosa County, Texas",11842
48015,"Austin County, Texas",8434
48017,"Bailey County, Texas",1439
48019,"Bandera County, Texas",5852
48021,"Bastrop County, Texas",18606
48023,"Baylor County, Texas",938
48025,"Bee County, Texas",5752
48027,"Bell County, Texas",84974
48029,"Bexar County, Texas",421257
48031,"Blanco County, Texas",3139
48033,"Borden County, Texas",166
48035,"Bosque County, Texas",5347
48037,"Bowie County, Texas",23034
48039,"Brazoria County, Texas",88881
48041,"Brazos County, Texas",44793
48043,"Brewster County, Texas",2233
48045,"Briscoe County, Texas",374
48047,"Brooks County, Texas",1426
48049,"Brown County, Texas",9572
48051,"Burleson County, Texas",4752
48053,"Burnet County, Texas",12281
48055,"Caldwell County, Texas",9619
48057,"Calhoun County, Texas",5135
48059,"Callahan County, Texas",3408
48061,"Cameron County, Texas",97748
48063,"Camp County, Texas",3314
48065,"Carson County, Texas",1602
48067,"Cass County, Texas",8256
48069,"Castro County, Texas",1738
48071,"Chambers County, Texas",11307
48073,"Cherokee County, Texas",13250
48075,"Childress County, Texas",1547
48077,"Clay County, Texas",2855
48079,"Cochran County, Texas",687
48081,"Coke County, Texas",1007
48083,"Coleman County, Texas",2127
48085,"Collin County, Texas",252724
48087,"Collingsworth County, Texas",758
48089,"Colorado County, Texas",5034
48091,"Comal County, Texas",38230
48093,"Comanche County, Texas",3763
48095,"Concho County, Texas",614
48097,"Cooke County, Texas",10820
48099,"Coryell County, Texas",15975
48101,"Cottle County, Texas",420
48103,"Crane County, Texas",1134
48105,"Crockett County, Texas",948
48107,"Crosby County, Texas",1459
48109,"Culberson County, Texas",411
48111,"Dallam County, Texas",1711
48113,"Dallas County, Texas",599542
48115,"Dawson County, Texas",2889
48117,"Deaf Smith County, Texas",4522
48119,"Delta County, Texas",1416
48121,"Denton County, Texas",204075
48123,"DeWitt County, Texas",4995
48125,"Dickens County, Texas",502
48127,"Dimmit County, Texas",2254
