GEO_ID,NAME,S1701_C02_001E
id,Geographic Area Name,Estimate!!Below poverty level!!Population for whom poverty status is determined
48001,"Anderson County, Texas",6598
48003,"Andrews County, Texas",1647
48005,"Angelina County, Texas",15026
48007,"Aransas County, Texas",5127
48009,"Archer County, Texas",1033
48011,"Armstrong County, Texas",174
48013,"Atascosa County, Texas",7196
48015,"Austin County, Texas",3583
48017,"Bailey County, Texas",590
48019,"Bandera County, Texas",3455
48021,"Bastrop County, Texas",9230
48023,"Baylor County, Texas",406
48025,"Bee County, Texas",5120
48027,"Bell County, Texas",46752
48029,"Bexar County, Texas",301755
48031,"Blanco County, Texas",1015
48033,"Borden County, Texas",16
48035,"Bosque County, Texas",2823
48037,"Bowie County, Texas",14534
48039,"Brazoria County, Texas",30317
48041,"Brazos County, Texas",50496
48043,"Brewster County, Texas",1254
48045,"Briscoe County, Texas",233
48047,"Brooks County, Texas",2724
48049,"Brown County, Texas",4545
48051,"Burleson County, Texas",2095
48053,"Burnet County, Texas",4661
48055,"Caldwell County, Texas",7541
48057,"Calhoun County, Texas",2923
48059,"Callahan County, Texas",1462
48061,"Cameron County, Texas",120764
48063,"Camp County, Texas",2372
48065,"Carson County, Texas",493
48067,"Cass County, Texas",5455
48069,"Castro County, Texas",1038
48071,"Chambers County, Texas",4960
48073,"Cherokee County, Texas",8013
48075,"Childress County, Texas",799
48077,"Clay County, Texas",1259
48079,"Cochran County, Texas",730
48081,"Coke County, Texas",398
48083,"Coleman County, Texas",1135
48085,"Collin County, Texas",60908
48087,"Collingsworth County, Texas",493
48089,"Colorado County, Texas",2080
48091,"Comal County, Texas",10712
48093,"Comanche County, Texas",1485
48095,"Concho County, Texas",268
48097,"Cooke County, Texas",5024
48099,"Coryell County, Texas",7829
48101,"Cottle County, Texas",505
48103,"Crane County, Texas",379
48105,"Crockett County, Texas",637
48107,"Crosby County, Texas",1189
48109,"Culberson County, Texas",653
48111,"Dallam County, Texas",878
48113,"Dallas County, Texas",395812
48115,"Dawson County, Texas",2840
48117,"Deaf Smith County, Texas",2995
48119,"Delta County, Texas",1039
48121,"Denton County, Texas",62681
48123,"DeWitt County, Texas",2946
48125,"Dickens County, Texas",410
48127,"Dimmit County, Texas",3477
48129,"Donley County, Texas",447
48131,"Duval County, Texas",2426
48133,"Eastland County, Texas",3168
48135,"Ector County, Texas",18899
48137,"Edwards County, Texas",165
48139,"Ellis County, Texas",15026
